Rank,Team,Pass_Att,Pass_Yd,Pass_TD,INT,Rush_Att,Rush_Yd,Rush_Avg,Rush_TD,Fumbles,FPTS,Col_12,Col_13,Position,Scrape_Date
,Passing,Rushing,,,,,,,,,,,,QB,2025-11-07 16:13:13
Rank,Team,Att,Cmp,Yd,TD,Int,Rate,Att,Yd,Avg,TD,FL,FPTS,QB,2025-11-07 16:13:13
32,Cowboys,33.11,22.67,271.78,2.44,0.44,112.30,5.89,24.89,4.23,0.44,0.22,28.44,QB,2025-11-07 16:13:13
31,Bengals,33.67,22.56,266.56,2.22,0.89,101.90,4.22,15.00,3.55,0.11,0.11,24.11,QB,2025-11-07 16:13:13
30,Jaguars,37.00,23.50,257.88,2.38,1.38,90.00,4.00,18.12,4.53,0.25,0.25,23.75,QB,2025-11-07 16:13:13
29,Bears,30.12,21.38,248.25,2.50,1.62,100.70,3.50,22.25,6.36,0.12,0.38,23.50,QB,2025-11-07 16:13:13
28,Commanders,30.33,20.44,268.56,2.11,0.56,110.70,3.89,18.78,4.83,0.11,0.00,23.44,QB,2025-11-07 16:13:13
27,Giants,35.33,23.11,246.89,1.67,0.44,96.20,5.56,24.00,4.32,0.33,0.11,22.56,QB,2025-11-07 16:13:13
26,Steelers,40.50,27.00,299.50,1.75,1.00,92.60,3.75,13.88,3.70,0.38,0.38,22.50,QB,2025-11-07 16:13:13
25,Dolphins,27.44,20.33,210.67,1.67,0.11,114.40,4.78,21.56,4.51,0.44,0.22,22.22,QB,2025-11-07 16:13:13
24,Jets,29.50,18.75,208.25,1.88,0.00,105.60,4.38,22.38,5.11,0.12,0.00,22.00,QB,2025-11-07 16:13:13
23,Ravens,36.75,24.75,259.75,1.75,0.38,99.30,4.62,13.12,2.84,0.25,0.25,21.75,QB,2025-11-07 16:13:13
22,Saints,28.78,19.67,216.89,2.00,0.44,107.20,5.11,18.67,3.65,0.11,0.33,20.33,QB,2025-11-07 16:13:13
21,Lions,32.75,20.50,221.62,2.00,1.00,90.10,5.50,18.25,3.32,0.25,0.12,20.25,QB,2025-11-07 16:13:13
20,Titans,29.44,21.11,231.67,1.56,0.56,104.40,5.67,21.33,3.76,0.22,0.22,20.11,QB,2025-11-07 16:13:13
19,49ers,33.67,22.89,231.67,1.67,0.11,102.50,4.56,19.89,4.37,0.11,0.33,19.78,QB,2025-11-07 16:13:13
18,Colts,38.67,25.44,264.00,1.67,1.11,87.80,3.11,12.00,3.86,0.00,0.11,18.78,QB,2025-11-07 16:13:13
17,Vikings,27.88,19.00,214.00,1.62,0.38,104.70,3.00,15.62,5.21,0.12,0.00,18.75,QB,2025-11-07 16:13:13
14,Seahawks,37.25,24.50,241.12,1.38,1.12,83.60,4.12,21.38,5.18,0.12,0.00,18.25,QB,2025-11-07 16:13:13
14,Buccaneers,34.88,23.50,253.12,1.38,0.88,91.20,5.12,25.25,4.93,0.12,0.50,18.25,QB,2025-11-07 16:13:13
14,Eagles,33.38,19.88,225.38,1.00,0.62,82.00,4.50,25.88,5.75,0.38,0.00,18.25,QB,2025-11-07 16:13:13
13,Patriots,32.00,22.11,237.33,1.67,0.78,97.80,2.56,13.22,5.17,0.00,0.22,18.00,QB,2025-11-07 16:13:13
12,Raiders,33.00,22.00,227.44,1.33,0.67,91.40,5.44,16.00,2.94,0.33,0.44,17.78,QB,2025-11-07 16:13:13
11,Packers,36.75,24.50,213.12,1.50,0.38,91.20,2.12,6.62,3.12,0.12,0.12,17.25,QB,2025-11-07 16:13:13
10,Browns,27.88,18.50,199.38,1.75,0.75,96.90,4.00,12.12,3.03,0.00,0.00,17.00,QB,2025-11-07 16:13:13
9,Panthers,31.22,20.11,216.56,1.22,0.78,87.30,3.78,12.11,3.21,0.33,0.00,16.78,QB,2025-11-07 16:13:13
8,Falcons,26.50,16.50,174.75,1.62,0.88,88.10,4.25,20.50,4.82,0.12,0.25,16.50,QB,2025-11-07 16:13:13
7,Chiefs,27.67,19.78,195.89,1.00,0.67,93.20,6.22,26.00,4.18,0.56,0.33,16.33,QB,2025-11-07 16:13:13
6,Cardinals,38.12,24.12,246.75,1.12,0.62,84.80,3.25,15.50,4.77,0.12,0.12,16.00,QB,2025-11-07 16:13:13
5,Rams,35.00,21.88,225.62,1.12,0.62,84.30,3.75,17.88,4.77,0.12,0.38,15.50,QB,2025-11-07 16:13:13
4,Chargers,30.22,18.33,192.89,0.89,0.78,78.30,5.00,24.44,4.89,0.22,0.00,14.33,QB,2025-11-07 16:13:13
3,Broncos,32.40,18.50,206.60,0.80,0.50,78.00,3.80,11.40,3.00,0.20,0.10,13.80,QB,2025-11-07 16:13:13
2,Bills,27.75,17.12,189.00,0.88,0.38,86.80,3.75,27.88,7.43,0.12,0.38,13.75,QB,2025-11-07 16:13:13
1,Texans,31.62,18.00,193.50,1.00,1.00,72.40,2.38,15.25,6.42,0.00,0.12,12.25,QB,2025-11-07 16:13:13
