Rank,Team,Rush_Att,Rush_Yd,Rush_Avg,Rush_TD,Targets,Receptions,Rec_Yd,Rec_Avg,Rec_TD,Fumbles,FPTS,Position,Scrape_Date
,Rushing,Receiving,,,,,,,,,,,RB,2025-12-26 16:15:22
Rank,Team,Att,Yd,Avg,TD,Targt,Recpt,Yd,Avg,TD,FL,FPTS,RB,2025-12-26 16:15:22
32,Bengals,24.07,128.27,5.33,0.87,5.93,4.87,44.93,9.23,0.47,0.07,24.80,RB,2025-12-26 16:15:22
31,Jets,24.07,102.20,4.25,1.00,4.67,3.47,31.13,8.98,0.53,0.00,22.20,RB,2025-12-26 16:15:22
30,Giants,21.33,121.87,5.71,0.87,6.07,4.80,32.80,6.83,0.27,0.13,21.67,RB,2025-12-26 16:15:22
29,Cardinals,23.47,112.73,4.80,0.93,5.67,4.47,34.73,7.78,0.33,0.13,21.33,RB,2025-12-26 16:15:22
28,Commanders,25.25,118.06,4.68,0.94,4.81,3.38,32.50,9.63,0.25,0.06,21.25,RB,2025-12-26 16:15:22
27,Bills,21.67,112.87,5.21,1.20,5.67,4.27,27.80,6.52,0.13,0.13,20.73,RB,2025-12-26 16:15:22
26,Cowboys,19.81,93.12,4.70,0.94,5.75,4.81,42.44,8.82,0.19,0.12,19.50,RB,2025-12-26 16:15:22
25,Panthers,21.60,102.87,4.76,0.93,5.73,4.53,29.20,6.44,0.13,0.07,18.27,RB,2025-12-26 16:15:22
24,Eagles,22.47,96.80,4.31,0.80,5.07,3.73,37.67,10.09,0.27,0.20,18.13,RB,2025-12-26 16:15:22
22,Titans,21.67,93.40,4.31,1.00,4.73,3.60,29.87,8.30,0.13,0.13,17.53,RB,2025-12-26 16:15:22
22,Raiders,24.73,99.73,4.03,1.00,5.40,4.53,28.73,6.34,0.07,0.00,17.53,RB,2025-12-26 16:15:22
20,Ravens,20.53,86.73,4.22,0.73,6.53,5.20,41.27,7.94,0.20,0.13,17.47,RB,2025-12-26 16:15:22
20,Saints,25.87,107.07,4.14,0.73,4.07,3.33,25.27,7.58,0.20,0.13,17.47,RB,2025-12-26 16:15:22
19,Buccaneers,18.40,78.73,4.28,0.67,5.67,4.80,53.60,11.17,0.27,0.13,17.33,RB,2025-12-26 16:15:22
18,Dolphins,22.73,105.87,4.66,0.53,5.53,5.00,38.80,7.76,0.20,0.20,17.13,RB,2025-12-26 16:15:22
17,Falcons,22.27,100.40,4.51,0.60,5.73,4.07,29.27,7.20,0.27,0.07,17.07,RB,2025-12-26 16:15:22
16,Browns,23.07,95.60,4.14,0.80,5.13,4.00,28.73,7.18,0.13,0.20,16.60,RB,2025-12-26 16:15:22
15,Vikings,26.62,105.12,3.95,0.75,4.44,3.38,20.44,6.06,0.00,0.19,16.12,RB,2025-12-26 16:15:22
14,Lions,21.00,91.31,4.35,0.75,4.75,3.62,24.69,6.81,0.06,0.12,15.62,RB,2025-12-26 16:15:22
13,Colts,21.33,83.87,3.93,0.80,5.73,4.13,26.20,6.34,0.20,0.20,15.60,RB,2025-12-26 16:15:22
12,49ers,20.13,87.93,4.37,0.60,6.53,5.47,34.27,6.27,0.20,0.20,15.53,RB,2025-12-26 16:15:22
11,Texans,19.73,77.33,3.92,0.73,5.33,4.00,31.53,7.88,0.13,0.00,15.20,RB,2025-12-26 16:15:22
10,Bears,20.80,99.20,4.77,0.53,4.87,3.87,24.20,6.26,0.20,0.27,14.87,RB,2025-12-26 16:15:22
9,Chargers,19.00,84.60,4.45,0.80,5.00,3.60,25.07,6.96,0.00,0.07,14.80,RB,2025-12-26 16:15:22
8,Chiefs,20.31,82.69,4.07,0.50,4.81,3.94,29.62,7.52,0.25,0.00,14.50,RB,2025-12-26 16:15:22
7,Steelers,22.47,96.87,4.31,0.33,6.13,4.80,34.40,7.17,0.13,0.33,14.13,RB,2025-12-26 16:15:22
6,Broncos,19.00,73.50,3.87,0.50,4.31,2.88,23.44,8.15,0.38,0.06,14.12,RB,2025-12-26 16:15:22
5,Rams,20.80,81.80,3.93,0.33,6.40,4.80,36.80,7.67,0.13,0.13,13.67,RB,2025-12-26 16:15:22
4,Patriots,19.13,74.73,3.91,0.47,6.13,5.13,31.67,6.17,0.13,0.07,13.47,RB,2025-12-26 16:15:22
3,Packers,22.60,88.93,3.94,0.53,5.67,4.60,27.80,6.04,0.00,0.13,13.20,RB,2025-12-26 16:15:22
2,Jaguars,17.40,68.00,3.91,0.47,5.93,4.53,36.13,7.97,0.20,0.13,12.73,RB,2025-12-26 16:15:22
1,Seahawks,21.60,75.73,3.51,0.33,7.33,5.60,39.40,7.04,0.13,0.13,12.53,RB,2025-12-26 16:15:22
