Rank,Team,Targets,Receptions,Rec_Yd,Rec_Avg,Rec_TD,Fumbles,FPTS,Col_9,Col_10,Col_11,Col_12,Position,Scrape_Date
,Rushing,Receiving,,,,,,,,,,,TE,2025-10-31 16:14:50
Rank,Team,Att,Yd,Avg,TD,Targt,Recpt,Yd,Avg,TD,FL,FPTS,TE,2025-10-31 16:14:50
32,Bengals,0.12,0.38,3.00,0.00,10.00,6.75,74.25,11.00,1.25,0.00,14.50,TE,2025-10-31 16:14:50
31,Steelers,0.14,0.29,2.00,0.00,8.71,6.43,79.29,12.33,0.86,0.00,12.14,TE,2025-10-31 16:14:50
30,Colts,0.00,0.00,0.00,0.00,8.25,6.25,72.38,11.58,0.50,0.00,10.25,TE,2025-10-31 16:14:50
29,Commanders,0.00,0.00,0.00,0.00,6.50,5.00,61.12,12.22,0.62,0.00,10.00,TE,2025-10-31 16:14:50
28,Dolphins,0.33,0.78,2.33,0.00,7.67,6.33,68.22,10.77,0.67,0.11,9.78,TE,2025-10-31 16:14:50
27,Patriots,0.25,0.38,1.50,0.12,7.88,6.00,66.75,11.12,0.50,0.12,9.50,TE,2025-10-31 16:14:50
26,Packers,0.00,0.00,0.00,0.00,10.00,7.86,57.86,7.36,0.71,0.00,9.29,TE,2025-10-31 16:14:50
25,Panthers,0.00,0.00,0.00,0.00,7.12,5.50,66.00,12.00,0.50,0.00,9.00,TE,2025-10-31 16:14:50
24,Seahawks,0.00,0.00,0.00,0.00,8.57,6.71,63.43,9.45,0.43,0.00,8.86,TE,2025-10-31 16:14:50
23,Cardinals,0.00,0.00,0.00,0.00,9.43,6.71,68.71,10.23,0.43,0.00,8.57,TE,2025-10-31 16:14:50
22,Jets,0.12,0.88,7.00,0.00,7.12,5.12,42.62,8.32,0.75,0.00,8.50,TE,2025-10-31 16:14:50
21,Jaguars,0.00,0.00,0.00,0.00,7.57,5.57,62.57,11.23,0.43,0.14,8.29,TE,2025-10-31 16:14:50
20,Browns,0.25,1.50,6.00,0.00,6.38,4.38,46.50,10.63,0.62,0.00,7.75,TE,2025-10-31 16:14:50
18,Lions,0.29,0.57,2.00,0.00,7.43,5.14,54.43,10.58,0.43,0.00,7.57,TE,2025-10-31 16:14:50
18,Bears,0.29,-0.57,-2.00,0.00,7.86,6.86,56.14,8.19,0.43,0.00,7.57,TE,2025-10-31 16:14:50
17,Ravens,0.12,0.00,0.00,0.00,6.75,5.88,61.12,10.40,0.25,0.00,7.50,TE,2025-10-31 16:14:50
16,Broncos,0.12,0.00,0.00,0.00,6.62,3.75,50.38,13.43,0.38,0.00,7.25,TE,2025-10-31 16:14:50
15,Vikings,0.14,0.29,2.00,0.00,7.14,5.57,48.43,8.69,0.57,0.14,7.14,TE,2025-10-31 16:14:50
12,Giants,0.75,-0.12,-0.17,0.00,8.38,5.50,48.25,8.77,0.50,0.00,7.00,TE,2025-10-31 16:14:50
12,Buccaneers,0.25,0.75,3.00,0.00,7.12,5.62,47.12,8.38,0.50,0.00,7.00,TE,2025-10-31 16:14:50
12,Saints,0.00,0.00,0.00,0.00,6.62,5.00,49.38,9.88,0.50,0.00,7.00,TE,2025-10-31 16:14:50
11,Cowboys,0.00,0.00,0.00,0.00,7.25,5.75,51.88,9.02,0.25,0.00,6.75,TE,2025-10-31 16:14:50
10,Raiders,0.00,0.00,0.00,0.00,5.71,4.14,50.71,12.24,0.29,0.00,6.71,TE,2025-10-31 16:14:50
9,Rams,0.71,0.71,1.00,0.14,7.71,5.14,43.00,8.36,0.29,0.00,6.57,TE,2025-10-31 16:14:50
7,49ers,0.12,0.25,2.00,0.00,7.50,5.12,45.50,8.88,0.38,0.00,6.25,TE,2025-10-31 16:14:50
7,Titans,0.00,0.00,0.00,0.00,6.75,5.12,43.38,8.46,0.38,0.00,6.25,TE,2025-10-31 16:14:50
6,Chargers,0.00,0.00,0.00,0.00,5.50,3.75,37.75,10.07,0.50,0.00,6.00,TE,2025-10-31 16:14:50
5,Texans,0.14,0.29,2.00,0.00,6.29,4.57,38.43,8.41,0.43,0.29,5.00,TE,2025-10-31 16:14:50
3,Eagles,0.00,0.00,0.00,0.00,6.62,4.00,32.62,8.16,0.12,0.00,3.75,TE,2025-10-31 16:14:50
3,Chiefs,0.12,0.25,2.00,0.00,4.75,3.88,36.50,9.42,0.12,0.00,3.75,TE,2025-10-31 16:14:50
2,Bills,0.14,0.29,2.00,0.00,3.29,2.57,22.00,8.56,0.14,0.00,2.86,TE,2025-10-31 16:14:50
1,Falcons,0.00,0.00,0.00,0.00,3.14,1.71,15.00,8.75,0.14,0.00,2.14,TE,2025-10-31 16:14:50
