Rank,Team,Rush_Att,Rush_Yd,Rush_Avg,Rush_TD,Targets,Receptions,Rec_Yd,Rec_Avg,Rec_TD,Fumbles,FPTS,Position,Scrape_Date
,Rushing,Receiving,,,,,,,,,,,WR,2025-12-12 16:15:18
Rank,Team,Att,Yd,Avg,TD,Targt,Recpt,Yd,Avg,TD,FL,FPTS,WR,2025-12-12 16:15:18
32,Cowboys,1.23,7.08,5.75,0.00,17.77,12.31,171.08,13.90,1.69,0.08,27.15,WR,2025-12-12 16:15:18
31,Lions,0.69,4.54,6.56,0.00,20.31,12.00,165.15,13.76,1.54,0.08,25.54,WR,2025-12-12 16:15:18
30,Bears,1.15,6.54,5.67,0.08,17.00,10.69,152.23,14.24,1.46,0.00,24.69,WR,2025-12-12 16:15:18
29,Giants,0.46,5.08,11.00,0.08,19.85,12.54,165.54,13.20,1.08,0.00,23.23,WR,2025-12-12 16:15:18
28,Falcons,0.93,6.36,6.85,0.00,18.36,11.50,150.43,13.08,1.21,0.07,22.43,WR,2025-12-12 16:15:18
26,Commanders,1.08,8.31,7.71,0.00,17.23,11.77,163.00,13.85,1.08,0.08,22.31,WR,2025-12-12 16:15:18
26,Titans,0.54,5.00,9.29,0.08,17.46,12.00,164.38,13.70,1.00,0.08,22.31,WR,2025-12-12 16:15:18
25,Colts,0.77,3.77,4.90,0.08,21.46,13.31,167.23,12.57,0.92,0.08,22.15,WR,2025-12-12 16:15:18
24,Raiders,0.69,2.54,3.67,0.00,19.38,13.31,154.54,11.61,1.15,0.08,21.77,WR,2025-12-12 16:15:18
23,Steelers,0.23,1.38,6.00,0.00,21.92,13.77,169.85,12.34,0.92,0.15,21.54,WR,2025-12-12 16:15:18
22,Ravens,1.00,7.69,7.69,0.00,21.23,12.46,157.69,12.65,1.00,0.23,20.54,WR,2025-12-12 16:15:18
21,49ers,0.38,2.23,5.80,0.00,18.62,12.69,152.62,12.02,0.92,0.15,20.23,WR,2025-12-12 16:15:18
20,Jaguars,0.31,0.38,1.25,0.00,21.00,12.54,141.54,11.29,0.92,0.15,19.54,WR,2025-12-12 16:15:18
19,Buccaneers,0.14,-0.21,-1.50,0.00,19.79,12.14,150.43,12.39,0.79,0.14,19.43,WR,2025-12-12 16:15:18
18,Patriots,0.92,8.00,8.67,0.00,16.00,10.08,125.46,12.45,1.23,0.15,19.23,WR,2025-12-12 16:15:18
17,Rams,1.00,4.38,4.38,0.00,20.08,12.23,148.85,12.17,0.85,0.23,18.62,WR,2025-12-12 16:15:18
16,Cardinals,0.54,2.62,4.86,0.00,18.69,11.69,146.77,12.55,0.69,0.00,18.15,WR,2025-12-12 16:15:18
14,Bills,1.54,6.00,3.90,0.08,16.54,10.23,128.08,12.52,0.92,0.00,17.85,WR,2025-12-12 16:15:18
14,Saints,0.54,0.69,1.29,0.00,15.46,9.77,120.77,12.36,1.00,0.08,17.85,WR,2025-12-12 16:15:18
13,Packers,0.54,1.62,3.00,0.00,16.77,10.77,127.77,11.86,0.85,0.08,17.08,WR,2025-12-12 16:15:18
12,Chiefs,0.62,3.23,5.25,0.00,17.77,11.62,137.69,11.85,0.62,0.00,16.85,WR,2025-12-12 16:15:18
11,Eagles,1.15,5.46,4.73,0.00,20.54,11.23,147.08,13.10,0.46,0.08,16.77,WR,2025-12-12 16:15:18
10,Panthers,0.54,1.38,2.57,0.08,16.08,9.85,129.23,13.12,0.69,0.08,16.46,WR,2025-12-12 16:15:18
9,Dolphins,0.54,2.85,5.29,0.00,15.38,10.08,113.69,11.28,0.92,0.08,16.38,WR,2025-12-12 16:15:18
8,Jets,1.23,7.31,5.94,0.08,16.23,10.08,128.15,12.72,0.69,0.15,16.31,WR,2025-12-12 16:15:18
7,Browns,1.08,3.38,3.14,0.00,14.23,8.62,109.15,12.67,1.00,0.15,15.69,WR,2025-12-12 16:15:18
6,Bengals,0.77,8.00,10.40,0.15,15.00,9.46,119.69,12.65,0.54,0.08,15.46,WR,2025-12-12 16:15:18
5,Broncos,0.62,1.46,2.37,0.00,20.15,12.00,131.23,10.94,0.38,0.08,15.15,WR,2025-12-12 16:15:18
4,Texans,0.54,-0.46,-0.86,0.00,18.08,9.77,127.46,13.05,0.54,0.15,15.08,WR,2025-12-12 16:15:18
3,Seahawks,0.69,2.38,3.44,0.08,18.85,10.38,108.54,10.45,0.69,0.15,14.62,WR,2025-12-12 16:15:18
2,Vikings,0.69,3.54,5.11,0.00,14.15,8.62,118.69,13.78,0.62,0.23,14.38,WR,2025-12-12 16:15:18
1,Chargers,0.23,0.62,2.67,0.00,17.54,10.08,119.54,11.86,0.46,0.08,13.77,WR,2025-12-12 16:15:18
