player_name,position,salary,points,fppg
Josh Allen,QB,40,38.76,38.8
Lamar Jackson,QB,37,29.36,29.4
Jayden Daniels,QB,37,20.12,20.1
Joe Burrow,QB,36,8.82,8.8
Baker Mayfield,QB,34,22.58,22.6
Bo Nix,QB,33,8.84,8.8
Brock PurdyQ,QB,32,18.78,18.8
Kyler Murray,QB,31,18.32,18.3
Jared Goff,QB,30,11.9,11.9
Bryce Young,QB,29,10.16,10.2
Aaron Rodgers,QB,28,25.66,25.7
Sam Darnold,QB,28,5.4,5.4
Trevor Lawrence,QB,27,11.32,11.3
Russell Wilson,QB,26,11.12,11.1
Tua Tagovailoa,QB,26,7.26,7.3
Geno Smith,QB,25,18.48,18.5
Drake Maye,QB,25,16.28,16.3
Jordan Love,QB,24,15.92,15.9
Matthew Stafford,QB,24,13.6,13.6
C.J. Stroud,QB,23,9.72,9.7
Michael Penix Jr.,QB,22,24.02,24.0
Joe Flacco,QB,21,14.2,14.2
Anthony Richardson Sr.,QB,21,0.0,15.9
Jimmy Garoppolo,QB,21,0.0,20.9
Justin Fields,QB,20,29.52,29.5
Bijan Robinson,RB,39,21.4,21.4
Jahmyr Gibbs,RB,39,10.0,10.0
Derrick Henry,RB,38,28.7,28.7
Josh Jacobs,RB,37,13.5,13.5
Jonathan Taylor,RB,37,11.3,11.3
De'Von Achane,RB,36,15.0,15.0
James Conner,RB,35,12.4,12.4
Bucky Irving,RB,34,12.5,12.5
Chase Brown,RB,34,12.1,12.1
Kyren Williams,RB,33,13.4,13.4
Christian McCaffrey,RB,32,18.7,18.7
James Cook,RB,32,18.7,18.7
Chuba Hubbard,RB,32,16.4,16.4
Alvin Kamara,RB,30,12.7,12.7
Ashton Jeanty,RB,29,11.0,11.0
Breece Hall,RB,28,15.5,15.5
David Montgomery,RB,27,6.3,6.3
Kenneth Walker III,RB,26,3.9,3.9
J.K. Dobbins,RB,24,13.8,13.8
Tony Pollard,RB,23,7.4,7.4
Brian Robinson Jr.,RB,23,4.2,4.2
TreVeyon Henderson,RB,22,8.1,8.1
Tyrone Tracy Jr.,RB,22,4.5,4.5
Jaylen Warren,RB,21,12.9,12.9
RJ Harvey,RB,21,7.4,7.4
Kaleb Johnson,RB,21,-0.2,-0.2
Rhamondre Stevenson,RB,20,3.7,3.7
