player_name,position,salary,points,fppg
Josh Allen,QB,40,38.76,38.8
Justin Fields,QB,20,29.52,29.5
Daniel Jones,QB,20,29.48,29.5
Lamar Jackson,QB,37,29.36,29.4
Aaron Rodgers,QB,28,25.66,25.7
Michael Penix Jr.,QB,22,24.02,24.0
Baker Mayfield,QB,34,22.58,22.6
Jayden Daniels,QB,37,20.12,20.1
Brock PurdyQ,QB,32,18.78,18.8
Geno Smith,QB,25,18.48,18.5
Kyler Murray,QB,31,18.32,18.3
Drake Maye,QB,25,16.28,16.3
Jordan Love,QB,24,15.92,15.9
Derrick Henry,RB,38,28.7,28.7
Bijan Robinson,RB,39,21.4,21.4
Christian McCaffrey,RB,32,18.7,18.7
James Cook,RB,32,18.7,18.7
Travis Etienne Jr.,RB,19,17.1,17.1
Chuba Hubbard,RB,32,16.4,16.4
Breece Hall,RB,28,15.5,15.5
De'Von Achane,RB,36,15.0,15.0
Jacory Croskey-Merritt,RB,10,14.2,14.2
J.K. Dobbins,RB,24,13.8,13.8
Josh Jacobs,RB,37,13.5,13.5
Kyren Williams,RB,33,13.4,13.4
Dylan Sampson,RB,10,13.3,13.3
Jaylen Warren,RB,21,12.9,12.9
Alvin Kamara,RB,30,12.7,12.7
Bucky Irving,RB,34,12.5,12.5
James Conner,RB,35,12.4,12.4
Chase Brown,RB,34,12.1,12.1
Jonathan Taylor,RB,37,11.3,11.3
Ashton Jeanty,RB,29,11.0,11.0
Zach Charbonnet,RB,19,10.7,10.7
Jahmyr Gibbs,RB,39,10.0,10.0
TreVeyon Henderson,RB,22,8.1,8.1
Trey Benson,RB,11,8.0,8.0
Tony Pollard,RB,23,7.4,7.4
RJ Harvey,RB,21,7.4,7.4
Austin EkelerQ,RB,16,7.2,7.2
Braelon Allen,RB,10,6.9,6.9
David Montgomery,RB,27,6.3,6.3
Nick Chubb,RB,16,6.0,6.0
Tyrone Tracy Jr.,RB,22,4.5,4.5
Brian Robinson Jr.,RB,23,4.2,4.2
Kyle Juszczyk,RB,10,4.2,4.2
Zay Flowers,WR,22,24.6,24.6
Emeka Egbuka,WR,15,21.6,21.6
Keon Coleman,WR,14,21.2,21.2
Deebo Samuel,WR,21,19.1,19.1
Garrett Wilson,WR,25,19.0,19.0
Puka Nacua,WR,32,18.1,18.1
Michael Pittman Jr.,WR,20,17.0,17.0
Marvin Harrison Jr.,WR,24,15.6,15.6
Courtland Sutton,WR,28,15.1,15.1
Calvin Austin III,WR,11,15.0,15.0
Jaxon Smith-Njigba,WR,27,14.9,14.9
Cedric Tillman,WR,18,13.7,13.7
Jakobi Meyers,WR,25,13.7,13.7
Kayshon Boutte,WR,17,13.3,13.3
Ricky Pearsall,WR,22,12.8,12.8
Tre Tucker,WR,10,12.4,12.4
Jayden ReedQ,WR,18,12.0,12.0
DeAndre Hopkins,WR,12,10.5,10.5
DK Metcalf,WR,24,10.3,10.3
Malik Nabers,WR,34,9.6,9.6
Drake LondonQ,WR,33,9.5,9.5
Khalil Shakir,WR,20,9.4,9.4
