player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
James Cook III,RB,"BUF 19 @ HOU 23, Final","17 RUSH ATT,116 RUSH YD,RUSH TD,3 TGT,3 REC,13 REC YD",$36,17.5,20.40,1,2025-11-21 16:15:30,Week 12,Thursday
Houston Texans,DEF,"BUF 19 @ HOU 23, Final","19 PTS ALLOWED,8 SACK,2 INT,FUM REC",$17,10.2,15.00,2,2025-11-21 16:15:30,Week 12,Thursday
Davis Mills,QB,"BUF 19 @ HOU 23, Final","153 PASS YD,2 PASS TD,2 RUSH ATT,4 RUSH YD",$20,13.4,14.52,3,2025-11-21 16:15:30,Week 12,Thursday
Christian Kirk,WR,"BUF 19 @ HOU 23, Final","6 TGT,5 REC,54 REC YD,REC TD",$13,5.2,13.90,4,2025-11-21 16:15:30,Week 12,Thursday
Khalil Shakir,WR,"BUF 19 @ HOU 23, Final","10 TGT,8 REC,110 REC YD,FUM LOST",$21,9.1,13.00,5,2025-11-21 16:15:30,Week 12,Thursday
Jayden Higgins,WR,"BUF 19 @ HOU 23, Final","9 TGT,4 REC,38 REC YD,REC TD",$15,6.1,11.80,6,2025-11-21 16:15:30,Week 12,Thursday
Josh Allen,QB,"BUF 19 @ HOU 23, Final","253 PASS YD,2 INT,5 RUSH ATT,20 RUSH YD",$45,24.0,10.12,7,2025-11-21 16:15:30,Week 12,Thursday
Woody Marks,RB,"BUF 19 @ HOU 23, Final","16 RUSH ATT,74 RUSH YD,TGT,REC,-5 REC YD",$21,8.5,7.40,8,2025-11-21 16:15:30,Week 12,Thursday
Nico Collins,WR,"BUF 19 @ HOU 23, Final","3 TGT,3 REC,55 REC YD",$34,12.1,7.00,9,2025-11-21 16:15:30,Week 12,Thursday
Ty Johnson,RB,"BUF 19 @ HOU 23, Final","2 RUSH ATT,7 RUSH YD,3 TGT,3 REC,45 REC YD",$10,3.9,6.70,10,2025-11-21 16:15:30,Week 12,Thursday
Ray Davis,RB,"BUF 19 @ HOU 23, Final",KRTD,$10,1.8,6.00,11,2025-11-21 16:15:30,Week 12,Thursday
Buffalo Bills,DEF,"BUF 19 @ HOU 23, Final","23 PTS ALLOWED,RET TD",$13,5.7,6.00,12,2025-11-21 16:15:30,Week 12,Thursday
Jackson Hawes,TE,"BUF 19 @ HOU 23, Final","2 TGT,2 REC,26 REC YD",$10,3.9,3.60,13,2025-11-21 16:15:30,Week 12,Thursday
Dawson Knox,TE,"BUF 19 @ HOU 23, Final","4 TGT,3 REC,17 REC YD",$10,3.4,3.20,14,2025-11-21 16:15:30,Week 12,Thursday
Joshua Palmer,WR,"BUF 19 @ HOU 23, Final","4 TGT,2 REC,21 REC YD",$12,4.5,3.10,15,2025-11-21 16:15:30,Week 12,Thursday
Gabe Davis,WR,"BUF 19 @ HOU 23, Final","2 TGT,REC,22 REC YD",$13,4.1,2.70,16,2025-11-21 16:15:30,Week 12,Thursday
Nick Chubb,RB,"BUF 19 @ HOU 23, Final","6 RUSH ATT,16 RUSH YD,TGT,REC,-1 REC YD",$14,6.1,2.00,17,2025-11-21 16:15:30,Week 12,Thursday
Jaylin Noel,WR,"BUF 19 @ HOU 23, Final","RUSH ATT,5 RUSH YD,2 TGT,REC,4 REC YD",$10,3.5,1.40,18,2025-11-21 16:15:30,Week 12,Thursday
Dalton Schultz,TE,"BUF 19 @ HOU 23, Final","4 TGT,REC,8 REC YD",$16,7.4,1.30,19,2025-11-21 16:15:31,Week 12,Thursday
Xavier Hutchinson,WR,"BUF 19 @ HOU 23, Final","RUSH ATT,9 RUSH YD",$11,5.8,0.90,20,2025-11-21 16:15:31,Week 12,Thursday
Reggie Gilliam,RB,"BUF 19 @ HOU 23, Final","TGT,REC,2 REC YD",$10,0.1,0.70,21,2025-11-21 16:15:31,Week 12,Thursday
Elijah Moore,WR,"BUF 19 @ HOU 23, Final","3 TGT,REC,-3 REC YD",$10,2.7,0.20,22,2025-11-21 16:15:31,Week 12,Thursday
Mitchell Trubisky,QB,"BUF 19 @ HOU 23, Final",,$20,0.8,0.00,23,2025-11-21 16:15:31,Week 12,Thursday
Curtis SamuelO,WR,"BUF 19 @ HOU 23, Final",,$10,2.9,0.00,24,2025-11-21 16:15:31,Week 12,Thursday
Dalton KincaidO,TE,"BUF 19 @ HOU 23, Final",,$17,10.4,0.00,25,2025-11-21 16:15:31,Week 12,Thursday
Tyrell Shavers,WR,"BUF 19 @ HOU 23, Final",,$10,3.6,0.00,26,2025-11-21 16:15:31,Week 12,Thursday
Keon ColemanO,WR,"BUF 19 @ HOU 23, Final",,$12,7.2,0.00,27,2025-11-21 16:15:31,Week 12,Thursday
Dare Ogunbowale,RB,"BUF 19 @ HOU 23, Final",,$10,0.7,0.00,28,2025-11-21 16:15:31,Week 12,Thursday
Braxton BerriosO,WR,"BUF 19 @ HOU 23, Final",,$10,1.7,0.00,29,2025-11-21 16:15:31,Week 12,Thursday
Harrison BryantIR,TE,"BUF 19 @ HOU 23, Final",,$10,0.3,0.00,30,2025-11-21 16:15:31,Week 12,Thursday
Dameon Pierce,RB,"BUF 19 @ HOU 23, Final",,$10,0.7,0.00,31,2025-11-21 16:15:31,Week 12,Thursday
C.J. StroudO,QB,"BUF 19 @ HOU 23, Final",,$28,15.7,0.00,32,2025-11-21 16:15:31,Week 12,Thursday
Tank DellPUP,WR,"BUF 19 @ HOU 23, Final",,$14,8.2,0.00,33,2025-11-21 16:15:31,Week 12,Thursday
British Brooks,RB,"BUF 19 @ HOU 23, Final",,$10,0.4,0.00,34,2025-11-21 16:15:31,Week 12,Thursday
Graham Mertz,QB,"BUF 19 @ HOU 23, Final",,$20,—,0.00,35,2025-11-21 16:15:31,Week 12,Thursday
Jakob Johnson,RB,"BUF 19 @ HOU 23, Final",,$10,—,0.00,36,2025-11-21 16:15:31,Week 12,Thursday
Cade Stover,TE,"BUF 19 @ HOU 23, Final",2 TGT,$10,2.1,0.00,37,2025-11-21 16:15:31,Week 12,Thursday
Mecole HardmanIR,WR,"BUF 19 @ HOU 23, Final",,$10,-2.0,0.00,38,2025-11-21 16:15:31,Week 12,Thursday
