player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
Darren Waller,TE,"MIA 15 @ PIT 28, Final","8 TGT,7 REC,66 REC YD,2 REC TD",$16,11.8,22.10,1,2025-12-16 16:36:34,Week 15,Monday
Tua Tagovailoa,QB,"MIA 15 @ PIT 28, Final","253 PASS YD,2 PASS TD,INT,RUSH ATT,RUSH YD",$25,12.5,17.22,2,2025-12-16 16:36:34,Week 15,Monday
Aaron Rodgers,QB,"MIA 15 @ PIT 28, Final","224 PASS YD,2 PASS TD",$28,14.8,16.96,3,2025-12-16 16:36:34,Week 15,Monday
Kenneth Gainwell,RB,"MIA 15 @ PIT 28, Final","13 RUSH ATT,80 RUSH YD,7 TGT,7 REC,46 REC YD",$23,10.1,16.10,4,2025-12-16 16:36:34,Week 15,Monday
De'Von Achane,RB,"MIA 15 @ PIT 28, Final","12 RUSH ATT,60 RUSH YD,6 TGT,6 REC,67 REC YD",$45,18.6,15.70,5,2025-12-16 16:36:34,Week 15,Monday
DK Metcalf,WR,"MIA 15 @ PIT 28, Final","3 TGT,3 REC,55 REC YD,REC TD",$27,10.8,13.00,6,2025-12-16 16:36:34,Week 15,Monday
Jonnu Smith,TE,"MIA 15 @ PIT 28, Final","RUSH ATT,14 RUSH YD,RUSH TD,2 TGT,2 REC,12 REC YD",$10,4.1,9.60,7,2025-12-16 16:36:34,Week 15,Monday
Marquez Valdes-Scantling,WR,"MIA 15 @ PIT 28, Final","TGT,REC,19 REC YD,REC TD",$10,2.4,8.40,8,2025-12-16 16:36:34,Week 15,Monday
Pittsburgh Steelers,DEF,"MIA 15 @ PIT 28, Final","15 PTS ALLOWED,4 SACK,INT",$16,7.9,7.00,9,2025-12-16 16:36:34,Week 15,Monday
Connor Heyward,TE,"MIA 15 @ PIT 28, Final","4 RUSH ATT,4 RUSH YD,RUSH TD",$10,1.5,6.40,10,2025-12-16 16:36:34,Week 15,Monday
Jaylen Warren,RB,"MIA 15 @ PIT 28, Final","12 RUSH ATT,33 RUSH YD,3 TGT,3 REC,15 REC YD",$28,11.6,6.30,11,2025-12-16 16:36:34,Week 15,Monday
Pat Freiermuth,TE,"MIA 15 @ PIT 28, Final","5 TGT,3 REC,45 REC YD",$12,6.2,6.00,12,2025-12-16 16:36:34,Week 15,Monday
Greg Dulcich,TE,"MIA 15 @ PIT 28, Final","2 TGT,2 REC,46 REC YD",$10,4.6,5.60,13,2025-12-16 16:36:34,Week 15,Monday
Darnell Washington,TE,"MIA 15 @ PIT 28, Final","4 TGT,3 REC,25 REC YD",$10,4.0,4.00,14,2025-12-16 16:36:34,Week 15,Monday
Jaylen Waddle,WR,"MIA 15 @ PIT 28, Final","4 TGT,2 REC,26 REC YD",$29,10.8,3.60,15,2025-12-16 16:36:34,Week 15,Monday
Julian Hill,TE,"MIA 15 @ PIT 28, Final","2 TGT,2 REC,25 REC YD",$10,2.0,3.50,16,2025-12-16 16:36:35,Week 15,Monday
Miami Dolphins,DEF,"MIA 15 @ PIT 28, Final","28 PTS ALLOWED,3 SACK",$16,6.2,2.00,17,2025-12-16 16:36:35,Week 15,Monday
Jaylen Wright,RB,"MIA 15 @ PIT 28, Final","RUSH ATT,2 RUSH YD,TGT,REC,9 REC YD",$12,3.6,1.60,18,2025-12-16 16:36:35,Week 15,Monday
Malik Washington,WR,"MIA 15 @ PIT 28, Final","TGT,REC,10 REC YD",$12,5.2,1.50,19,2025-12-16 16:36:35,Week 15,Monday
Adam Thielen,WR,"MIA 15 @ PIT 28, Final","TGT,REC,7 REC YD",$10,1.4,1.20,20,2025-12-16 16:36:35,Week 15,Monday
Alec Ingold,RB,"MIA 15 @ PIT 28, Final","TGT,REC,4 REC YD",$10,1.1,0.90,21,2025-12-16 16:36:35,Week 15,Monday
Kaleb Johnson,RB,"MIA 15 @ PIT 28, Final","2 RUSH ATT,4 RUSH YD",$10,0.8,0.40,22,2025-12-16 16:36:35,Week 15,Monday
Cedrick Wilson Jr.,WR,"MIA 15 @ PIT 28, Final",,$10,1.3,0.00,23,2025-12-16 16:36:35,Week 15,Monday
Nick Westbrook-Ikhine,WR,"MIA 15 @ PIT 28, Final",TGT,$10,1.2,0.00,24,2025-12-16 16:36:35,Week 15,Monday
Zach Wilson,QB,"MIA 15 @ PIT 28, Final",,$20,0.5,0.00,25,2025-12-16 16:36:35,Week 15,Monday
Dee Eskridge,WR,"MIA 15 @ PIT 28, Final",,$10,0.6,0.00,26,2025-12-16 16:36:35,Week 15,Monday
Tahj Washington,WR,"MIA 15 @ PIT 28, Final",,$10,-0.4,0.00,27,2025-12-16 16:36:35,Week 15,Monday
Ollie Gordon IIQ,RB,"MIA 15 @ PIT 28, Final",2 RUSH ATT,$11,3.5,0.00,28,2025-12-16 16:36:35,Week 15,Monday
Quinn Ewers,QB,"MIA 15 @ PIT 28, Final",,$20,2.1,0.00,29,2025-12-16 16:36:35,Week 15,Monday
Mason Rudolph,QB,"MIA 15 @ PIT 28, Final",,$20,3.4,0.00,30,2025-12-16 16:36:35,Week 15,Monday
Scotty Miller,WR,"MIA 15 @ PIT 28, Final",,$10,0.7,0.00,31,2025-12-16 16:36:35,Week 15,Monday
Ben Skowronek,WR,"MIA 15 @ PIT 28, Final",,$10,1.1,0.00,32,2025-12-16 16:36:35,Week 15,Monday
Calvin Austin III,WR,"MIA 15 @ PIT 28, Final",TGT,$11,4.7,0.00,33,2025-12-16 16:36:35,Week 15,Monday
Roman Wilson,WR,"MIA 15 @ PIT 28, Final",,$10,3.3,0.00,34,2025-12-16 16:36:35,Week 15,Monday
Will Howard,QB,"MIA 15 @ PIT 28, Final",,$20,—,0.00,35,2025-12-16 16:36:35,Week 15,Monday
Ke'Shawn Williams,WR,"MIA 15 @ PIT 28, Final",,$10,—,0.00,36,2025-12-16 16:36:35,Week 15,Monday
AJ HenningO,WR,"MIA 15 @ PIT 28, Final",,$10,—,0.00,37,2025-12-16 16:36:35,Week 15,Monday
