player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
Drake Maye,QB,"NE 42 @ NYJ 10, Final","256 PASS YD,5 PASS TD,3 RUSH ATT,22 RUSH YD",$41,21.5,32.44,1,2025-12-29 16:26:42,Week 17,Sunday
Chase Brown,RB,"ARI 14 @ CIN 37, Final","22 RUSH ATT,101 RUSH YD,2 RUSH TD,3 TGT,3 REC,40 REC YD",$38,14.4,27.60,2,2025-12-29 16:26:42,Week 17,Sunday
Zach Charbonnet,RB,"SEA 27 @ CAR 10, Final","18 RUSH ATT,110 RUSH YD,2 RUSH TD,2 TGT,2 REC,12 REC YD",$20,10.3,25.20,3,2025-12-29 16:26:42,Week 17,Sunday
Jaxson Dart,QB,"NYG 34 @ LV 10, Final","207 PASS YD,9 RUSH ATT,48 RUSH YD,2 RUSH TD",$35,17.4,25.08,4,2025-12-29 16:26:42,Week 17,Sunday
Rhamondre Stevenson,RB,"NE 42 @ NYJ 10, Final","8 RUSH ATT,47 RUSH YD,RUSH TD,5 TGT,5 REC,55 REC YD,REC TD",$19,9.9,24.70,5,2025-12-29 16:26:42,Week 17,Sunday
Trevor Lawrence,QB,"JAC 23 @ IND 17, Final","263 PASS YD,INT,8 RUSH ATT,26 RUSH YD,2 RUSH TD",$42,20.4,24.12,6,2025-12-29 16:26:42,Week 17,Sunday
Josh AllenQ,QB,"PHI 13 @ BUF 12, Final","262 PASS YD,7 RUSH ATT,27 RUSH YD,2 RUSH TD,FUM LOST",$43,23.4,23.18,7,2025-12-29 16:26:42,Week 17,Sunday
Tyler Shough,QB,"NO 34 @ TEN 26, Final","333 PASS YD,2 PASS TD,4 RUSH ATT,6 RUSH YD",$32,14.1,21.92,8,2025-12-29 16:26:42,Week 17,Sunday
Chris Olave,WR,"NO 34 @ TEN 26, Final","11 TGT,8 REC,119 REC YD,REC TD",$38,13.7,21.90,9,2025-12-29 16:26:42,Week 17,Sunday
Ja'Marr Chase,WR,"ARI 14 @ CIN 37, Final","9 TGT,7 REC,60 REC YD,2 REC TD",$40,15.4,21.50,10,2025-12-29 16:26:42,Week 17,Sunday
Joe Burrow,QB,"ARI 14 @ CIN 37, Final","305 PASS YD,2 PASS TD,3 RUSH ATT,2 RUSH YD",$39,16.8,20.40,11,2025-12-29 16:26:42,Week 17,Sunday
Chris Godwin Jr.,WR,"TB 17 @ MIA 20, Final","8 TGT,7 REC,108 REC YD,REC TD",$23,8.1,20.30,12,2025-12-29 16:26:42,Week 17,Sunday
Breece HallQ,RB,"NE 42 @ NYJ 10, Final","14 RUSH ATT,111 RUSH YD,RUSH TD,3 TGT,2 REC,18 REC YD",$27,11.9,19.90,13,2025-12-29 16:26:42,Week 17,Sunday
Baker Mayfield,QB,"TB 17 @ MIA 20, Final","346 PASS YD,2 PASS TD,2 INT,3 RUSH ATT,16 RUSH YD,FUM LOST",$33,16.8,19.44,14,2025-12-29 16:26:42,Week 17,Sunday
Stefon Diggs,WR,"NE 42 @ NYJ 10, Final","6 TGT,6 REC,101 REC YD,REC TD",$25,10.1,19.10,15,2025-12-29 16:26:42,Week 17,Sunday
Trey McBride,TE,"ARI 14 @ CIN 37, Final","13 TGT,10 REC,76 REC YD,REC TD",$30,15.2,18.60,16,2025-12-29 16:26:42,Week 17,Sunday
New York Giants,DEF,"NYG 34 @ LV 10, Final","10 PTS ALLOWED,4 SACK,2 INT,RET TD",$12,4.5,18.00,17,2025-12-29 16:26:42,Week 17,Sunday
Michael Wilson,WR,"ARI 14 @ CIN 37, Final","10 TGT,5 REC,89 REC YD,REC TD",$29,10.2,17.40,18,2025-12-29 16:26:42,Week 17,Sunday
Cam Ward,QB,"NO 34 @ TEN 26, Final","251 PASS YD,2 PASS TD,2 RUSH ATT,10 RUSH YD,FUM LOST",$26,11.5,17.04,19,2025-12-29 16:26:42,Week 17,Sunday
Wan'Dale Robinson,WR,"NYG 34 @ LV 10, Final","14 TGT,11 REC,113 REC YD",$26,10.7,16.80,20,2025-12-29 16:26:42,Week 17,Sunday
Jacoby Brissett,QB,"ARI 14 @ CIN 37, Final","212 PASS YD,2 PASS TD",$39,16.8,16.48,21,2025-12-29 16:26:43,Week 17,Sunday
Audric Estime,RB,"NO 34 @ TEN 26, Final","14 RUSH ATT,94 RUSH YD,RUSH TD,TGT,REC,4 REC YD",$10,5.8,16.30,22,2025-12-29 16:26:43,Week 17,Sunday
Jonathan Taylor,RB,"JAC 23 @ IND 17, Final","21 RUSH ATT,70 RUSH YD,RUSH TD,6 TGT,3 REC,14 REC YD",$41,20.9,15.90,23,2025-12-29 16:26:43,Week 17,Sunday
Quinn Ewers,QB,"TB 17 @ MIA 20, Final","172 PASS YD,2 PASS TD,4 RUSH ATT,5 RUSH YD,TGT,REC,-6 REC YD",$21,8.8,15.28,24,2025-12-29 16:26:43,Week 17,Sunday
Devin Singletary,RB,"NYG 34 @ LV 10, Final","8 RUSH ATT,45 RUSH YD,RUSH TD,4 TGT,4 REC,25 REC YD",$15,5.6,15.00,25,2025-12-29 16:26:43,Week 17,Sunday
