player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
Baker Mayfield,QB,"TB 20 @ HOU 19, Final","215 PASS YD,2 PASS TD,3 RUSH ATT,33 RUSH YD",$33,21.2,19.90,1,2025-09-16,Week 2,Monday
Justin Herbert,QB,"LAC 20 @ LV 9, Final","242 PASS YD,2 PASS TD,9 RUSH ATT,31 RUSH YD,FUM LOST",$31,23.4,18.78,2,2025-09-16,Week 2,Monday
Bucky Irving,RB,"TB 20 @ HOU 19, Final","17 RUSH ATT,71 RUSH YD,6 TGT,6 REC,50 REC YD",$36,13.8,15.10,3,2025-09-16,Week 2,Monday
C.J. Stroud,QB,"TB 20 @ HOU 19, Final","207 PASS YD,PASS TD,4 RUSH ATT,27 RUSH YD",$23,12.4,14.98,4,2025-09-16,Week 2,Monday
Keenan Allen,WR,"LAC 20 @ LV 9, Final","7 TGT,5 REC,61 REC YD,REC TD",$22,15.5,14.60,5,2025-09-16,Week 2,Monday
Quentin Johnston,WR,"LAC 20 @ LV 9, Final","RUSH ATT,-2 RUSH YD,7 TGT,3 REC,71 REC YD,REC TD",$19,18.4,14.40,6,2025-09-16,Week 2,Monday
Nick Chubb,RB,"TB 20 @ HOU 19, Final","12 RUSH ATT,43 RUSH YD,RUSH TD,2 TGT,2 REC,29 REC YD",$16,10.1,14.20,7,2025-09-16,Week 2,Monday
Rachaad White,RB,"TB 20 @ HOU 19, Final","10 RUSH ATT,65 RUSH YD,RUSH TD,2 TGT,2 REC,REC YD",$13,7.9,13.60,8,2025-09-16,Week 2,Monday
Los Angeles Chargers,DEF,"LAC 20 @ LV 9, Final","9 PTS ALLOWED,3 SACK,3 INT",$10,7.5,13.00,9,2025-09-16,Week 2,Monday
Nico Collins,WR,"TB 20 @ HOU 19, Final","9 TGT,3 REC,52 REC YD,REC TD",$31,8.4,12.70,10,2025-09-16,Week 2,Monday
Emeka Egbuka,WR,"TB 20 @ HOU 19, Final","7 TGT,4 REC,29 REC YD,REC TD",$35,16.3,10.90,11,2025-09-16,Week 2,Monday
Jakobi Meyers,WR,"LAC 20 @ LV 9, Final","12 TGT,6 REC,68 REC YD",$30,11.8,9.80,12,2025-09-16,Week 2,Monday
Ryan Miller,WR,"TB 20 @ HOU 19, Final","TGT,REC,20 REC YD,REC TD",$10,4.3,8.50,13,2025-09-16,Week 2,Monday
Mike Evans,WR,"TB 20 @ HOU 19, Final","11 TGT,5 REC,56 REC YD",$33,7.9,8.10,14,2025-09-16,Week 2,Monday
Ladd McConkey,WR,"LAC 20 @ LV 9, Final","5 TGT,5 REC,48 REC YD",$36,8.9,7.30,15,2025-09-16,Week 2,Monday
Houston Texans,DEF,"TB 20 @ HOU 19, Final","20 PTS ALLOWED,4 SACK,BLK KICK",$12,6.5,7.00,16,2025-09-16,Week 2,Monday
Brock Bowers,TE,"LAC 20 @ LV 9, Final","8 TGT,5 REC,38 REC YD",$27,9.6,6.30,17,2025-09-16,Week 2,Monday
Geno Smith,QB,"LAC 20 @ LV 9, Final","180 PASS YD,3 INT,5 RUSH ATT,20 RUSH YD",$28,12.3,6.20,18,2025-09-16,Week 2,Monday
Ashton Jeanty,RB,"LAC 20 @ LV 9, Final","11 RUSH ATT,43 RUSH YD,4 TGT,3 REC,REC YD",$30,8.5,5.90,19,2025-09-16,Week 2,Monday
Najee Harris,RB,"LAC 20 @ LV 9, Final","8 RUSH ATT,28 RUSH YD,2 TGT,2 REC,20 REC YD",$16,3.7,5.80,20,2025-09-16,Week 2,Monday
Woody Marks,RB,"TB 20 @ HOU 19, Final","3 RUSH ATT,14 RUSH YD,TGT,REC,37 REC YD",$10,2.9,5.60,21,2025-09-16,Week 2,Monday
Sterling Shepard,WR,"TB 20 @ HOU 19, Final","4 TGT,4 REC,34 REC YD",$10,5.4,5.40,22,2025-09-16,Week 2,Monday
Las Vegas Raiders,DEF,"LAC 20 @ LV 9, Final","20 PTS ALLOWED,2 SACK,FUM REC",$16,7.5,5.00,23,2025-09-16,Week 2,Monday
Dalton Schultz,TE,"TB 20 @ HOU 19, Final","4 TGT,3 REC,29 REC YD",$12,4.4,4.40,24,2025-09-16,Week 2,Monday
Tre' Harris,WR,"LAC 20 @ LV 9, Final","3 TGT,2 REC,34 REC YD",$10,3.0,4.40,25,2025-09-16,Week 2,Monday
Cade Otton,TE,"TB 20 @ HOU 19, Final","4 TGT,3 REC,25 REC YD",$13,2.0,4.00,26,2025-09-16,Week 2,Monday
Tampa Bay Buccaneers,DEF,"TB 20 @ HOU 19, Final","19 PTS ALLOWED,3 SACK",$10,3.0,4.00,27,2025-09-16,Week 2,Monday
Xavier Hutchinson,WR,"TB 20 @ HOU 19, Final","3 TGT,2 REC,29 REC YD",$10,4.2,3.90,28,2025-09-16,Week 2,Monday
Tre Tucker,WR,"LAC 20 @ LV 9, Final","RUSH ATT,7 RUSH YD,8 TGT,3 REC,12 REC YD",$12,7.9,3.40,29,2025-09-16,Week 2,Monday
Jayden Higgins,WR,"TB 20 @ HOU 19, Final","TGT,REC,28 REC YD",$11,3.8,3.30,30,2025-09-16,Week 2,Monday
Omarion Hampton,RB,"LAC 20 @ LV 9, Final","8 RUSH ATT,24 RUSH YD,2 TGT,REC,REC YD",$21,5.1,3.00,31,2025-09-16,Week 2,Monday
Dylan Laube,RB,"LAC 20 @ LV 9, Final","2 TGT,2 REC,17 REC YD",$10,1.4,2.70,32,2025-09-16,Week 2,Monday
Dont'e Thornton Jr.,WR,"LAC 20 @ LV 9, Final","4 TGT,REC,20 REC YD",$11,4.0,2.50,33,2025-09-16,Week 2,Monday
Zamir White,RB,"LAC 20 @ LV 9, Final","2 RUSH ATT,-2 RUSH YD,3 TGT,2 REC,15 REC YD",$10,1.5,2.30,34,2025-09-16,Week 2,Monday
Michael Mayer,TE,"LAC 20 @ LV 9, Final","2 TGT,2 REC,9 REC YD",$10,3.8,1.90,35,2025-09-16,Week 2,Monday
Will Dissly,TE,"LAC 20 @ LV 9, Final","TGT,REC,7 REC YD",$10,1.8,1.20,36,2025-09-16,Week 2,Monday
Justin Watson,WR,"TB 20 @ HOU 19, Final","2 TGT,REC,3 REC YD",$10,2.3,0.80,37,2025-09-16,Week 2,Monday
Chris Godwin Jr.Q,WR,"TB 20 @ HOU 19, Final",,$23,16.1,0.00,38,2025-09-16,Week 2,Monday
Ko Kieft,TE,"TB 20 @ HOU 19, Final",,$10,—,0.00,39,2025-09-16,Week 2,Monday
