player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
Josh Allen,QB,"MIA 21 @ BUF 31, Final","213 PASS YD,3 PASS TD,4 RUSH ATT,25 RUSH YD",$45,24.5,23.02,1,2025-09-19 18:44:22,Week 3,Thursday
James Cook III,RB,"MIA 21 @ BUF 31, Final","19 RUSH ATT,108 RUSH YD,RUSH TD,3 TGT,3 REC,10 REC YD",$39,21.3,19.30,2,2025-09-19 18:44:22,Week 3,Thursday
Dalton Kincaid,TE,"MIA 21 @ BUF 31, Final","6 TGT,5 REC,66 REC YD,REC TD",$13,11.2,15.10,3,2025-09-19 18:44:22,Week 3,Thursday
Tua Tagovailoa,QB,"MIA 21 @ BUF 31, Final","146 PASS YD,2 PASS TD,INT,2 RUSH ATT,10 RUSH YD",$28,13.6,13.84,4,2025-09-19 18:44:22,Week 3,Thursday
Tyreek Hill,WR,"MIA 21 @ BUF 31, Final","10 TGT,5 REC,49 REC YD,REC TD",$25,11.1,13.40,5,2025-09-19 18:44:22,Week 3,Thursday
De'Von Achane,RB,"MIA 21 @ BUF 31, Final","12 RUSH ATT,62 RUSH YD,9 TGT,7 REC,29 REC YD",$38,16.6,12.60,6,2025-09-19 18:44:22,Week 3,Thursday
Khalil Shakir,WR,"MIA 21 @ BUF 31, Final","4 TGT,4 REC,45 REC YD,REC TD",$20,7.9,12.50,7,2025-09-19 18:44:22,Week 3,Thursday
Jaylen Waddle,WR,"MIA 21 @ BUF 31, Final","6 TGT,5 REC,39 REC YD,REC TD",$21,10.9,12.40,8,2025-09-19 18:44:22,Week 3,Thursday
Ollie Gordon II,RB,"MIA 21 @ BUF 31, Final","9 RUSH ATT,38 RUSH YD,RUSH TD",$10,4.1,9.80,9,2025-09-19 18:44:22,Week 3,Thursday
Jackson Hawes,TE,"MIA 21 @ BUF 31, Final","TGT,REC,5 REC YD,REC TD",$10,3.8,7.00,10,2025-09-19 18:44:23,Week 3,Thursday
Elijah Moore,WR,"MIA 21 @ BUF 31, Final","RUSH ATT,11 RUSH YD,3 TGT,2 REC,30 REC YD",$10,5.6,5.10,11,2025-09-19 18:44:23,Week 3,Thursday
Malik Washington,WR,"MIA 21 @ BUF 31, Final","2 RUSH ATT,20 RUSH YD,5 TGT,3 REC,12 REC YD",$10,5.9,4.70,12,2025-09-19 18:44:23,Week 3,Thursday
Keon Coleman,WR,"MIA 21 @ BUF 31, Final","4 TGT,3 REC,20 REC YD",$21,9.6,3.50,13,2025-09-19 18:44:23,Week 3,Thursday
Tyrell Shavers,WR,"MIA 21 @ BUF 31, Final","2 TGT,2 REC,24 REC YD",$10,1.7,3.40,14,2025-09-19 18:44:23,Week 3,Thursday
Ty Johnson,RB,"MIA 21 @ BUF 31, Final","3 RUSH ATT,13 RUSH YD,2 TGT,REC,8 REC YD",$10,1.9,2.60,15,2025-09-19 18:44:23,Week 3,Thursday
Buffalo Bills,DEF,"MIA 21 @ BUF 31, Final","21 PTS ALLOWED,INT",$14,4.0,2.00,16,2025-09-19 18:44:23,Week 3,Thursday
Tanner Conner,TE,"MIA 21 @ BUF 31, Final","2 TGT,REC,13 REC YD",$10,2.4,1.80,17,2025-09-19 18:44:23,Week 3,Thursday
Joshua Palmer,WR,"MIA 21 @ BUF 31, Final","TGT,REC,5 REC YD",$16,5.1,1.00,18,2025-09-19 18:44:23,Week 3,Thursday
Miami Dolphins,DEF,"MIA 21 @ BUF 31, Final","31 PTS ALLOWED,2 SACK",$13,3.0,1.00,19,2025-09-19 18:44:23,Week 3,Thursday
Julian Hill,TE,"MIA 21 @ BUF 31, Final","TGT,REC,4 REC YD",$10,1.0,0.90,20,2025-09-19 18:44:23,Week 3,Thursday
Alec Ingold,RB,"MIA 21 @ BUF 31, Final",,$10,1.5,0.00,21,2025-09-19 18:44:23,Week 3,Thursday
Nick Westbrook-Ikhine,WR,"MIA 21 @ BUF 31, Final",,$13,1.3,0.00,22,2025-09-19 18:44:23,Week 3,Thursday
Zach Wilson,QB,"MIA 21 @ BUF 31, Final",,$20,1.6,0.00,23,2025-09-19 18:44:23,Week 3,Thursday
Dee Eskridge,WR,"MIA 21 @ BUF 31, Final",,$10,0.9,0.00,24,2025-09-19 18:44:23,Week 3,Thursday
Jaylen Wright,RB,"MIA 21 @ BUF 31, Final",,$10,1.9,0.00,25,2025-09-19 18:44:23,Week 3,Thursday
Tahj WashingtonO,WR,"MIA 21 @ BUF 31, Final",,$10,—,0.00,26,2025-09-19 18:44:23,Week 3,Thursday
Quinn EwersO,QB,"MIA 21 @ BUF 31, Final",,$20,—,0.00,27,2025-09-19 18:44:23,Week 3,Thursday
Mitchell Trubisky,QB,"MIA 21 @ BUF 31, Final",,$20,1.0,0.00,28,2025-09-19 18:44:23,Week 3,Thursday
Curtis SamuelO,WR,"MIA 21 @ BUF 31, Final",,$10,4.2,0.00,29,2025-09-19 18:44:23,Week 3,Thursday
Dawson Knox,TE,"MIA 21 @ BUF 31, Final",,$10,3.0,0.00,30,2025-09-19 18:44:23,Week 3,Thursday
Reggie Gilliam,RB,"MIA 21 @ BUF 31, Final",,$10,—,0.00,31,2025-09-19 18:44:23,Week 3,Thursday
Ray Davis,RB,"MIA 21 @ BUF 31, Final",TGT,$10,1.0,0.00,32,2025-09-19 18:44:23,Week 3,Thursday
Darren WallerO,TE,"MIA 21 @ BUF 31, Final",,$11,—,0.00,33,2025-09-19 18:44:23,Week 3,Thursday
Jeff Wilson Jr.,RB,"MIA 21 @ BUF 31, Final",,$10,1.3,0.00,34,2025-09-19 18:44:23,Week 3,Thursday
