player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day,game_time
Ashton Jeanty,RB,"CHI 25 @ LV 24, Final","21 RUSH ATT,138 RUSH YD,RUSH TD,2 TGT,2 REC,17 REC YD,2 REC TD,FUM LOST",$24,13.9,32.5,1,2025-09-29 13:59:22,Week 4,Sunday,4:05 PM (4 NFL Games)
Dak Prescott,QB,"GB 40 @ DAL 40, Final OT","319 PASS YD,3 PASS TD,RUSH ATT,2 RUSH YD,RUSH TD",$33,19.0,30.96,1,2025-09-29 13:59:37,Week 4,Sunday,8:20 PM (1 NFL Game)
Josh Jacobs,RB,"GB 40 @ DAL 40, Final OT","22 RUSH ATT,86 RUSH YD,2 RUSH TD,4 TGT,4 REC,71 REC YD",$38,16.9,29.7,2,2025-09-29 13:59:37,Week 4,Sunday,8:20 PM (1 NFL Game)
Puka Nacua,WR,"IND 20 @ LA 27, Final","15 TGT,13 REC,170 REC YD,REC TD",$39,22.1,29.5,2,2025-09-29 13:58:52,Week 4,Sunday,1:00 PM (11 NFL Games)
George Pickens,WR,"GB 40 @ DAL 40, Final OT","11 TGT,8 REC,134 REC YD,2 REC TD",$28,16.1,29.4,3,2025-09-29 13:59:37,Week 4,Sunday,8:20 PM (1 NFL Game)
Matthew Stafford,QB,"IND 20 @ LA 27, Final","375 PASS YD,3 PASS TD,4 RUSH ATT,4 RUSH YD",$32,18.5,27.4,3,2025-09-29 13:58:52,Week 4,Sunday,1:00 PM (11 NFL Games)
Patrick Mahomes,QB,"BAL 20 @ KC 37, Final","270 PASS YD,4 PASS TD,4 RUSH ATT,5 RUSH YD",$38,22.4,27.3,4,2025-09-29 13:59:22,Week 4,Sunday,4:05 PM (4 NFL Games)
Romeo Doubs,WR,"GB 40 @ DAL 40, Final OT","8 TGT,6 REC,58 REC YD,3 REC TD",$18,12.1,26.8,4,2025-09-29 13:59:37,Week 4,Sunday,8:20 PM (1 NFL Game)
Jordan Love,QB,"GB 40 @ DAL 40, Final OT","337 PASS YD,3 PASS TD,3 RUSH ATT,28 RUSH YD,FUM LOST",$31,18.8,26.28,5,2025-09-29 13:59:37,Week 4,Sunday,8:20 PM (1 NFL Game)
Justice Hill,RB,"BAL 20 @ KC 37, Final","3 RUSH ATT,76 RUSH YD,RUSH TD,6 TGT,5 REC,41 REC YD,REC TD",$11,8.9,26.2,5,2025-09-29 13:59:22,Week 4,Sunday,4:05 PM (4 NFL Games)
Bijan Robinson,RB,"WAS 27 @ ATL 34, Final","17 RUSH ATT,75 RUSH YD,RUSH TD,5 TGT,4 REC,106 REC YD",$42,19.9,26.1,1,2025-09-29 13:59:07,Week 4,Sunday,1:00 PM (7 NFL Games)
Woody Marks,RB,"TEN 0 @ HOU 26, Final","17 RUSH ATT,69 RUSH YD,RUSH TD,5 TGT,4 REC,50 REC YD,REC TD",$10,9.0,25.9,2,2025-09-29 13:58:30,Week 4,Sunday,9:30 AM (1 NFL Game)
Josh Allen,QB,"NO 19 @ BUF 31, Final","209 PASS YD,2 PASS TD,INT,7 RUSH ATT,45 RUSH YD,RUSH TD",$45,24.9,25.86,3,2025-09-29 13:58:31,Week 4,Sunday,9:30 AM (1 NFL Game)
Omarion Hampton,RB,"LAC 18 @ NYG 21, Final","12 RUSH ATT,128 RUSH YD,RUSH TD,5 TGT,5 REC,37 REC YD",$28,14.3,25.0,9,2025-09-29 13:58:52,Week 4,Sunday,1:00 PM (11 NFL Games)
Drake Maye,QB,"CAR 13 @ NE 42, Final","203 PASS YD,2 PASS TD,3 RUSH ATT,11 RUSH YD,RUSH TD",$34,21.5,23.22,10,2025-09-29 13:58:52,Week 4,Sunday,1:00 PM (11 NFL Games)
Christian McCaffrey,RB,"JAC 26 @ SF 21, Final","17 RUSH ATT,49 RUSH YD,11 TGT,6 REC,92 REC YD,REC TD",$39,20.1,23.1,6,2025-09-29 13:59:22,Week 4,Sunday,4:05 PM (4 NFL Games)
