player_name,position,game_info,stats,salary,fppg,points,row_number,scrape_date,week,day
Kenneth Gainwell,RB,"MIN 21 @ PIT 24, Final","19 RUSH ATT,99 RUSH YD,2 RUSH TD,6 TGT,6 REC,35 REC YD",$11,11.6,28.40,1,2025-09-29 14:07:51,Week 4,Sunday
Carson Wentz,QB,"MIN 21 @ PIT 24, Final","350 PASS YD,2 PASS TD,2 INT,2 RUSH ATT,12 RUSH YD,2PT",$24,19.3,23.20,2,2025-09-29 14:07:51,Week 4,Sunday
DK Metcalf,WR,"MIN 21 @ PIT 24, Final","5 TGT,5 REC,126 REC YD,REC TD",$25,12.9,21.10,3,2025-09-29 14:07:51,Week 4,Sunday
Justin Jefferson,WR,"MIN 21 @ PIT 24, Final","11 TGT,10 REC,126 REC YD",$33,12.5,17.60,4,2025-09-29 14:07:51,Week 4,Sunday
Jordan Addison,WR,"MIN 21 @ PIT 24, Final","8 TGT,4 REC,114 REC YD",$19,13.4,13.40,5,2025-09-29 14:07:51,Week 4,Sunday
Zavier Scott,RB,"MIN 21 @ PIT 24, Final","2 RUSH ATT,RUSH YD,8 TGT,6 REC,43 REC YD,REC TD",$13,9.5,13.40,6,2025-09-29 14:07:51,Week 4,Sunday
Aaron Rodgers,QB,"MIN 21 @ PIT 24, Final","200 PASS YD,PASS TD,3 RUSH ATT,8 RUSH YD",$33,15.9,12.80,7,2025-09-29 14:07:51,Week 4,Sunday
Pittsburgh Steelers,DEF,"MIN 21 @ PIT 24, Final","21 PTS ALLOWED,6 SACK,2 INT",$15,8.3,10.00,8,2025-09-29 14:07:51,Week 4,Sunday
Jalen Nailor,WR,"MIN 21 @ PIT 24, Final","4 TGT,REC,2 REC YD,REC TD,2PT",$10,5.5,8.70,9,2025-09-29 14:07:51,Week 4,Sunday
Jordan Mason,RB,"MIN 21 @ PIT 24, Final","16 RUSH ATT,57 RUSH YD,3 TGT,3 REC,15 REC YD",$28,11.3,8.70,10,2025-09-29 14:07:51,Week 4,Sunday
