player_name,position,game_info,stats,salary,fppg,points,row_number,week,day,source_file,scrape_date,game_time,salary_clean,points_clean,points_per_dollar,performance_category,std_devs_above_mean
Caleb Williams,QB,"MIN 27 @ CHI 24, Final","210 PASS YD,PASS TD,6 RUSH ATT,58 RUSH YD,RUSH TD",$23,24.2,24.2,1,Week 1,Unknown,week1_monday_correct.csv,,,23,24.2,1.0521739130434782,High (1-2 std),1.6329286964157543
J.J. McCarthy,QB,"MIN 27 @ CHI 24, Final","143 PASS YD,2 PASS TD,INT,2 RUSH ATT,25 RUSH YD,RUSH TD,2PT",$20,23.2,23.22,2,Week 1,Unknown,week1_monday_correct.csv,,,20,23.22,1.161,High (1-2 std),1.9853482982954889
Nick Chubb,RB,"TB 20 @ HOU 19, Final","12 RUSH ATT,43 RUSH YD,RUSH TD,2 TGT,2 REC,29 REC YD",$16,10.1,14.2,7,Week 2,Monday,week2_Mon.csv,2025-09-16,,16,14.2,0.8875,High (1-2 std),1.057623603354578
Rachaad White,RB,"TB 20 @ HOU 19, Final","10 RUSH ATT,65 RUSH YD,RUSH TD,2 TGT,2 REC,REC YD",$13,7.9,13.6,8,Week 2,Monday,week2_Mon.csv,2025-09-16,,13,13.6,1.0461538461538462,High (1-2 std),1.450561734896664
Los Angeles Chargers,DEF,"LAC 20 @ LV 9, Final","9 PTS ALLOWED,3 SACK,3 INT",$10,7.5,13.0,9,Week 2,Monday,week2_Mon.csv,2025-09-16,,10,13.0,1.3,High (1-2 std),1.4203057361229963
Ryan Miller,WR,"TB 20 @ HOU 19, Final","TGT,REC,20 REC YD,REC TD",$10,4.3,8.5,13,Week 2,Monday,week2_Mon.csv,2025-09-16,,10,8.5,0.85,High (1-2 std),1.1049289184034077
Amon-Ra St. Brown,WR,"CHI 21 @ DET 52, Final","2 RUSH ATT,7 RUSH YD,11 TGT,9 REC,115 REC YD,3 REC TD",$32,20.6,34.7,1,Week 2,Sunday,week2_Sunday.csv,2025-09-15,,32,34.7,1.084375,High (1-2 std),1.729582310374917
Jared Goff,QB,"CHI 21 @ DET 52, Final","334 PASS YD,5 PASS TD,RUSH ATT,6 RUSH YD",$29,22.9,33.96,2,Week 2,Sunday,week2_Sunday.csv,2025-09-15,,29,33.96,1.1710344827586208,Elite (2+ std),2.0178437092558683
Malik Nabers,WR,"NYG 37 @ DAL 40, Final OT","13 TGT,9 REC,167 REC YD,2 REC TD",$34,21.4,33.2,3,Week 2,Sunday,week2_Sunday.csv,2025-09-15,,34,33.2,0.9764705882352942,High (1-2 std),1.4419967879535243
Russell Wilson,QB,"NYG 37 @ DAL 40, Final OT","450 PASS YD,3 PASS TD,INT,3 RUSH ATT,23 RUSH YD",$24,21.2,31.3,4,Week 2,Sunday,week2_Sunday.csv,2025-09-15,,24,31.3,1.3041666666666667,Elite (2+ std),2.4489755505486457
