player_name,position,game_info,stats,salary,points
Lamar Jackson,"Lamar Jackson
BAL 40 @ BUF 41, Final
209 PASS YD,2 PASS TD,6 RUSH ATT,70 RUSH YD,RUSH TD","BAL 40 @ BUF 41, Final","209 PASS YD,2 PASS TD,6 RUSH ATT,70 RUSH YD,RUSH TD",$37,29.4
Derrick Henry,"Derrick Henry
BAL 40 @ BUF 41, Final
18 RUSH ATT,169 RUSH YD,2 RUSH TD,TGT,REC,13 REC YD,FUM LOST","BAL 40 @ BUF 41, Final","18 RUSH ATT,169 RUSH YD,2 RUSH TD,TGT,REC,13 REC YD,FUM LOST",$38,28.7
Baker Mayfield,"Baker Mayfield
TB 23 @ ATL 20, Final
167 PASS YD,3 PASS TD,5 RUSH ATT,39 RUSH YD","TB 23 @ ATL 20, Final","167 PASS YD,3 PASS TD,5 RUSH ATT,39 RUSH YD",$34,22.6
Emeka Egbuka,"Emeka Egbuka
TB 23 @ ATL 20, Final
RUSH ATT,9 RUSH YD,6 TGT,4 REC,67 REC YD,2 REC TD","TB 23 @ ATL 20, Final","RUSH ATT,9 RUSH YD,6 TGT,4 REC,67 REC YD,2 REC TD",$15,21.6
Keon Coleman,"Keon Coleman
BAL 40 @ BUF 41, Final
11 TGT,8 REC,112 REC YD,REC TD","BAL 40 @ BUF 41, Final","11 TGT,8 REC,112 REC YD,REC TD",$14,21.2
Brock Purdy,"Brock Purdy
SF 17 @ SEA 13, Final
277 PASS YD,2 PASS TD,2 INT,5 RUSH ATT,17 RUSH YD","SF 17 @ SEA 13, Final","277 PASS YD,2 PASS TD,2 INT,5 RUSH ATT,17 RUSH YD",$32,18.8
James Cook,"James Cook
BAL 40 @ BUF 41, Final
13 RUSH ATT,44 RUSH YD,RUSH TD,5 TGT,5 REC,58 REC YD","BAL 40 @ BUF 41, Final","13 RUSH ATT,44 RUSH YD,RUSH TD,5 TGT,5 REC,58 REC YD",$32,18.7
Kyler Murray,"Kyler Murray
ARI 20 @ NO 13, Final
163 PASS YD,2 PASS TD,7 RUSH ATT,38 RUSH YD","ARI 20 @ NO 13, Final","163 PASS YD,2 PASS TD,7 RUSH ATT,38 RUSH YD",$31,18.3
Puka Nacua,"Puka Nacua
HOU 9 @ LA 14, Final
RUSH ATT,RUSH YD,11 TGT,10 REC,130 REC YD","HOU 9 @ LA 14, Final","RUSH ATT,RUSH YD,11 TGT,10 REC,130 REC YD",$32,18.1
Drake Maye,"Drake Maye
LV 20 @ NE 13, Final
287 PASS YD,PASS TD,INT,4 RUSH ATT,11 RUSH YD,TGT,REC,2 REC YD","LV 20 @ NE 13, Final","287 PASS YD,PASS TD,INT,4 RUSH ATT,11 RUSH YD,TGT,REC,2 REC YD",$25,16.3
Jacory Croskey-Merritt,"Jacory Croskey-Merritt
NYG 6 @ WAS 21, Final
10 RUSH ATT,82 RUSH YD,RUSH TD,TGT","NYG 6 @ WAS 21, Final","10 RUSH ATT,82 RUSH YD,RUSH TD,TGT",$10,14.2
Denver Broncos,"6 SACK,","TEN 12 @ DEN 20, Final","12 PTS ALLOWED,6 SACK,2 FUM REC",$20,14.0
Kirk Cousins,"Kirk Cousins
TB 23 @ ATL 20, Final","TB 23 @ ATL 20, Final",,$20,13.7
Jakobi Meyers,"Jakobi Meyers
LV 20 @ NE 13, Final
10 TGT,8 REC,97 REC YD","LV 20 @ NE 13, Final","10 TGT,8 REC,97 REC YD",$25,13.7
Kyren Williams,"Kyren Williams
HOU 9 @ LA 14, Final
18 RUSH ATT,66 RUSH YD,RUSH TD,2 TGT,REC,3 REC YD","HOU 9 @ LA 14, Final","18 RUSH ATT,66 RUSH YD,RUSH TD,2 TGT,REC,3 REC YD",$33,13.4
Indianapolis Colts,"3 SACK,","MIA 8 @ IND 33, Final","8 PTS ALLOWED,3 SACK,2 INT,FUM REC",$13,13.0
Brock BowersQ,"Brock BowersQ
LV 20 @ NE 13, Final
8 TGT,5 REC,103 REC YD","LV 20 @ NE 13, Final","8 TGT,5 REC,103 REC YD",$24,12.8
Ricky Pearsall,"Ricky Pearsall
SF 17 @ SEA 13, Final
7 TGT,4 REC,108 REC YD","SF 17 @ SEA 13, Final","7 TGT,4 REC,108 REC YD",$22,12.8
Dalton Kincaid,"Dalton Kincaid
BAL 40 @ BUF 41, Final
4 TGT,4 REC,48 REC YD,REC TD","BAL 40 @ BUF 41, Final","4 TGT,4 REC,48 REC YD,REC TD",$11,12.8
Alvin Kamara,"Alvin Kamara
ARI 20 @ NO 13, Final
11 RUSH ATT,45 RUSH YD,RUSH TD,2 TGT,2 REC,12 REC YD","ARI 20 @ NO 13, Final","11 RUSH ATT,45 RUSH YD,RUSH TD,2 TGT,2 REC,12 REC YD",$30,12.7
Bucky Irving,"Bucky Irving
TB 23 @ ATL 20, Final
14 RUSH ATT,37 RUSH YD,4 TGT,4 REC,8 REC YD,REC TD","TB 23 @ ATL 20, Final","14 RUSH ATT,37 RUSH YD,4 TGT,4 REC,8 REC YD,REC TD",$34,12.5
Tre Tucker,"Tre Tucker
LV 20 @ NE 13, Final
3 TGT,2 REC,54 REC YD,REC TD","LV 20 @ NE 13, Final","3 TGT,2 REC,54 REC YD,REC TD",$10,12.4
Drew Lock,"Drew Lock
SF 17 @ SEA 13, Final","SF 17 @ SEA 13, Final",,$20,12.2
Los Angeles Rams,"3 SACK,","HOU 9 @ LA 14, Final","9 PTS ALLOWED,3 SACK,INT,FUM REC",$17,11.0
Jacksonville Jaguars,"SACK,","CAR 10 @ JAC 26, Final","10 PTS ALLOWED,SACK,2 INT,FUM REC",$10,11.0
DeAndre Hopkins,"DeAndre Hopkins
BAL 40 @ BUF 41, Final
2 TGT,2 REC,35 REC YD,REC TD","BAL 40 @ BUF 41, Final","2 TGT,2 REC,35 REC YD,REC TD",$12,10.5
George KittleQ,"George KittleQ
SF 17 @ SEA 13, Final
4 TGT,4 REC,25 REC YD,REC TD","SF 17 @ SEA 13, Final","4 TGT,4 REC,25 REC YD,REC TD",$24,10.5
DK Metcalf,"DK Metcalf
PIT 34 @ NYJ 32, Final
7 TGT,4 REC,83 REC YD","PIT 34 @ NYJ 32, Final","7 TGT,4 REC,83 REC YD",$24,10.3
Las Vegas Raiders,"4 SACK,","LV 20 @ NE 13, Final","13 PTS ALLOWED,4 SACK,INT",$10,10.0
Tennessee Titans,"SACK,","TEN 12 @ DEN 20, Final","20 PTS ALLOWED,SACK,2 INT,2 FUM REC",$10,10.0
Green Bay Packers,"4 SACK,","DET 13 @ GB 27, Final","13 PTS ALLOWED,4 SACK,INT",$18,10.0
Malik Nabers,"Malik Nabers
NYG 6 @ WAS 21, Final
12 TGT,5 REC,71 REC YD","NYG 6 @ WAS 21, Final","12 TGT,5 REC,71 REC YD",$34,9.6
