player_name,position,game_info,stats,salary,fppg,points,row_number,position_clean,points_numeric
Josh Allen,QB,"BAL 40 @ BUF 41, Final","394 PASS YD,2 PASS TD,14 RUSH ATT,30 RUSH YD,2 RUSH TD",$40,38.8,38.76,1,QB,38.76
Justin Fields,QB,"PIT 34 @ NYJ 32, Final","218 PASS YD,PASS TD,12 RUSH ATT,48 RUSH YD,2 RUSH TD",$20,29.5,29.52,2,QB,29.52
Daniel Jones,QB,"MIA 8 @ IND 33, Final","272 PASS YD,PASS TD,7 RUSH ATT,26 RUSH YD,2 RUSH TD",$20,29.5,29.48,3,QB,29.48
Lamar Jackson,QB,"BAL 40 @ BUF 41, Final","209 PASS YD,2 PASS TD,6 RUSH ATT,70 RUSH YD,RUSH TD",$37,29.4,29.36,4,QB,29.36
Aaron Rodgers,QB,"PIT 34 @ NYJ 32, Final","244 PASS YD,4 PASS TD,RUSH ATT,-1 RUSH YD",$28,25.7,25.66,6,QB,25.66
Michael Penix Jr.,QB,"TB 23 @ ATL 20, Final","298 PASS YD,PASS TD,6 RUSH ATT,21 RUSH YD,RUSH TD",$22,24.0,24.02,8,QB,24.02
Baker Mayfield,QB,"TB 23 @ ATL 20, Final","167 PASS YD,3 PASS TD,5 RUSH ATT,39 RUSH YD",$34,22.6,22.58,9,QB,22.58
Jayden Daniels,QB,"NYG 6 @ WAS 21, Final","233 PASS YD,PASS TD,11 RUSH ATT,68 RUSH YD",$37,20.1,20.12,13,QB,20.12
Brock Purdy,QB,"SF 17 @ SEA 13, Final","277 PASS YD,2 PASS TD,2 INT,5 RUSH ATT,17 RUSH YD",$32,18.8,18.78,16,QB,18.78
Geno Smith,QB,"LV 20 @ NE 13, Final","362 PASS YD,PASS TD,INT,2 RUSH ATT,10 RUSH YD",$25,18.5,18.48,19,QB,18.48
Kyler Murray,QB,"ARI 20 @ NO 13, Final","163 PASS YD,2 PASS TD,7 RUSH ATT,38 RUSH YD",$31,18.3,18.32,20,QB,18.32
Drake Maye,QB,"LV 20 @ NE 13, Final","287 PASS YD,PASS TD,INT,4 RUSH ATT,11 RUSH YD,TGT,REC,2 REC YD",$25,16.3,16.28,25,QB,16.28
Jordan Love,QB,"DET 13 @ GB 27, Final","188 PASS YD,2 PASS TD,3 RUSH ATT,4 RUSH YD",$24,15.9,15.92,26,QB,15.92
Joe Flacco,QB,"CIN 17 @ CLE 16, Final","290 PASS YD,PASS TD,2 INT,2 RUSH ATT,6 RUSH YD",$21,14.2,14.2,34,QB,14.2
Matthew Stafford,QB,"HOU 9 @ LA 14, Final","245 PASS YD,PASS TD,4 RUSH ATT,-2 RUSH YD",$24,13.6,13.6,39,QB,13.6
Jared Goff,QB,"DET 13 @ GB 27, Final","225 PASS YD,PASS TD,INT,RUSH ATT,-1 RUSH YD",$30,11.9,11.9,55,QB,11.9
Spencer Rattler,QB,"ARI 20 @ NO 13, Final","214 PASS YD,4 RUSH ATT,29 RUSH YD",$20,11.5,11.46,57,QB,11.46
Trevor Lawrence,QB,"CAR 10 @ JAC 26, Final","178 PASS YD,PASS TD,INT,4 RUSH ATT,12 RUSH YD",$27,11.3,11.32,59,QB,11.32
Russell Wilson,QB,"NYG 6 @ WAS 21, Final","168 PASS YD,8 RUSH ATT,44 RUSH YD",$26,11.1,11.12,61,QB,11.12
Bryce Young,QB,"CAR 10 @ JAC 26, Final","154 PASS YD,PASS TD,2 INT,5 RUSH ATT,40 RUSH YD,FUM LOST",$29,10.2,10.16,71,QB,10.16
C.J. Stroud,QB,"HOU 9 @ LA 14, Final","188 PASS YD,INT,5 RUSH ATT,32 RUSH YD",$23,9.7,9.72,79,QB,9.72
Bo Nix,QB,"TEN 12 @ DEN 20, Final","176 PASS YD,PASS TD,2 INT,8 RUSH ATT,18 RUSH YD,FUM LOST",$33,8.8,8.84,92,QB,8.84
Joe Burrow,QB,"CIN 17 @ CLE 16, Final","113 PASS YD,PASS TD,2 RUSH ATT,3 RUSH YD",$36,8.8,8.82,93,QB,8.82
Tua Tagovailoa,QB,"MIA 8 @ IND 33, Final","114 PASS YD,PASS TD,2 INT,RUSH ATT,7 RUSH YD,FUM LOST,2PT",$26,7.3,7.26,112,QB,7.26
Sam Darnold,QB,"SF 17 @ SEA 13, Final","150 PASS YD,2 RUSH ATT,14 RUSH YD,FUM LOST",$28,5.4,5.4,132,QB,5.4
Cam Ward,QB,"TEN 12 @ DEN 20, Final","112 PASS YD,FUM LOST",$20,2.5,2.48,187,QB,2.48
Zach Wilson,QB,"MIA 8 @ IND 33, Final","32 PASS YD,RUSH ATT,3 RUSH YD",$20,1.6,1.58,212,QB,1.58
Jalen Milroe,QB,"SF 17 @ SEA 13, Final","RUSH ATT,RUSH YD",$20,0.1,0.1,261,QB,0.1
Tommy DeVito,QB,"LV 20 @ NE 13, Final",,$20,6.7,0.0,567,QB,0.0
Brandon Allen,QB,"TEN 12 @ DEN 20, Final",,$20,2.8,0.0,617,QB,0.0
Carter BradleyQ,QB,"SF 17 @ SEA 13, Final",,$20,—,0.0,610,QB,0.0
Sam Ehlinger,QB,"TEN 12 @ DEN 20, Final",,$20,—,0.0,632,QB,0.0
Drew Lock,QB,"SF 17 @ SEA 13, Final",,$20,12.2,0.0,594,QB,0.0
Kurtis RourkeO,QB,"SF 17 @ SEA 13, Final",,$20,—,0.0,589,QB,0.0
Mac Jones,QB,"SF 17 @ SEA 13, Final",,$20,10.4,0.0,582,QB,0.0
Cam Miller,QB,"LV 20 @ NE 13, Final",,$20,—,0.0,551,QB,0.0
Ben Wooldridge,QB,"LV 20 @ NE 13, Final",,$20,—,0.0,566,QB,0.0
Joshua Dobbs,QB,"LV 20 @ NE 13, Final",,$20,10.9,0.0,555,QB,0.0
Aidan O'ConnellIR,QB,"LV 20 @ NE 13, Final",,$20,10.8,0.0,545,QB,0.0
